ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
289174723,0,XAUUSD.pc,BUY,0.01,4342.75000,4342.75000,2026.06.15 16:02:37,2026.06.15 16:02:37,2.75,-0.03,0.00,
289257449,0,XAUUSD.pc,SELL,0.01,4354.01000,4354.01000,2026.06.15 16:26:54,2026.06.15 16:26:54,0.00,-0.03,0.00,
289257462,0,XAUUSD.pc,SELL,0.01,4354.03000,4354.03000,2026.06.15 16:26:55,2026.06.15 16:26:55,0.00,-0.03,0.00,
289257529,0,XAUUSD.pc,SELL,0.01,4354.09000,4354.09000,2026.06.15 16:26:56,2026.06.15 16:26:56,0.00,-0.03,0.00,
289257539,0,XAUUSD.pc,SELL,0.01,4354.09000,4354.09000,2026.06.15 16:26:57,2026.06.15 16:26:57,0.00,-0.03,0.00,
289257910,0,XAUUSD.pc,SELL,0.01,4353.61000,4353.61000,2026.06.15 16:27:12,2026.06.15 16:27:12,0.00,-0.03,0.00,
289272907,0,XAUUSD.pc,SELL,0.01,4358.01000,4358.01000,2026.06.15 16:30:54,2026.06.15 16:30:54,0.00,-0.03,0.00,
289277853,0,XAUUSD.pc,SELL,0.01,4357.89000,4357.89000,2026.06.15 16:31:12,2026.06.15 16:31:12,0.00,-0.03,0.00,
289292934,0,XAUUSD.pc,SELL,0.01,4364.25000,4364.25000,2026.06.15 16:32:24,2026.06.15 16:32:24,0.00,-0.03,0.00,
289295690,0,XAUUSD.pc,SELL,0.01,4360.58000,4360.58000,2026.06.15 16:32:51,2026.06.15 16:32:51,0.00,-0.03,0.00,
289313471,0,XAUUSD.pc,SELL,0.01,4363.64000,4363.64000,2026.06.15 16:35:22,2026.06.15 16:35:22,0.00,-0.03,0.00,
289334243,0,XAUUSD.pc,SELL,0.01,4363.85000,4363.85000,2026.06.15 16:39:33,2026.06.15 16:39:33,0.00,-0.03,0.00,
289355199,0,XAUUSD.pc,SELL,0.01,4364.85000,4364.85000,2026.06.15 16:42:31,2026.06.15 16:42:31,0.00,-0.03,0.00,
289382146,0,XAUUSD.pc,SELL,0.01,4363.17000,4363.17000,2026.06.15 16:49:18,2026.06.15 16:49:18,0.00,-0.03,0.00,
289382650,0,XAUUSD.pc,SELL,0.01,4363.46000,4363.46000,2026.06.15 16:49:27,2026.06.15 16:49:27,0.00,-0.03,0.00,
289387924,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,1.68,-0.03,0.00,
289387925,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,5.95,-0.03,0.00,
289387926,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-1.01,-0.03,0.00,
289387927,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-4.81,-0.03,0.00,
